"LAST.NAME","FIRST.NAME","DOB","POB","SSN","SEX","STREET.NUMBER","STREET.NAME","VOTER.REG.DATE","PARTY"
"BAER","DENNIS","5309","NEBRASKA","767-26-6777","MALE",552,"PANSY",1935-01-25,"INDEPENDENT"
"BAILEY","EMILY","5810","ALDERWOOD","272-45-9421","FEMALE",1001,"CORNISH",1935-01-26,"DEMOCRAT"
"BAKER","FRANKLIN","5311","WASHINGTON","074-30-3906","MALE",265,"AFGHAN",1935-01-27,"DEMOCRAT"
"WHITFORD","GERT","8-Apr-34","ALDERWOOD","183-12-6473","FEMALE",547,"SOMALI",1935-01-28,"DEMOCRAT"
"MILLER","HARVEY","4813","WASHINGTON","526-34-6730","MALE",98,"PHEASANT",1935-01-29,"DEMOCRAT"
"BECKER","IRENE","4814","MEXICO","551-53-5757","FEMALE",314,"BITTERSWEET",1935-01-30,"DEMOCRAT"
"BRAGG","JOSE","17257","ALDERWOOD","804-46-7841","MALE",1330,"BARREL",1935-01-31,"REPUBLICAN"
"FOLEY","KATRINA","5816","ALDERWOOD","304-07-2220","FEMALE",2506,"FOXGLOVE",1935-02-01,"REPUBLICAN"
"HENDERSON","LEE","5317","OREGON","392-47-1597","MALE",3748,"SERENGETI",1935-02-02,"REPUBLICAN"
"BALL","MARIA","4818","MONTANA","453-78-5010","FEMALE",161,"BLUEBERRY",1935-02-03,"REPUBLICAN"
"BARRO","NATE","5319","ALDERWOOD","339-30-5748","MALE",2898,"LAUREL",1935-02-04,"REPUBLICAN"
"BARNES","OPHELIA","4320","UTAH","038-88-3887","FEMALE",870,"SPHYNX",1935-02-05,"REPUBLICAN"
"BARRETT","PHILIPPE","4821","ALDERWOOD","981-77-2037","MALE",2730,"CORGI",1935-02-06,"REPUBLICAN"
"BARRY","RITA","5822","CALIFORNIA","133-75-0236","FEMALE",208,"BIRCH",1935-02-07,"INDEPENDENT"
"OLIVEIRA","STAN","6253","MARYLAND","598-80-0600","MALE",219,"CORNISH",1935-02-08,"DEMOCRAT"
"ORGILL","TAMMY","4824","ALDERWOOD","639-37-4127","FEMALE",575,"HONEYSUCKLE",1935-02-09,"DEMOCRAT"
"WHITING","VINCE","4825","ALDERWOOD","915-29-6995","MALE",1512,"ASIAN",1935-02-10,"DEMOCRAT"
"WHITMAN","WILMA","4826","ALDERWOOD","437-05-9624","FEMALE",509,"ASIAN",1935-02-11,"DEMOCRAT"
"FARMER","ALBERTO","4827","ALDERWOOD","882-08-8610","MALE",110,"SALMON",1935-02-12,"DEMOCRAT"
"BEAR","BERYL","4828","WYOMING","519-31-2353","FEMALE",105,"FIRST",1935-02-13,"REPUBLICAN"
"BEAN","CHRIS","5329","ALDERWOOD","901-08-2562","MALE",231,"OLIVE",1935-02-14,"REPUBLICAN"
"BECHTOL","DEBBY","4330","UTAH","653-98-4022","FEMALE",265,"BURMESE",1935-02-15,"REPUBLICAN"
"BELL","ERNESTO","4831","ALDERWOOD","825-49-6255","MALE",2100,"FOURTH",1935-02-16,"REPUBLICAN"
"BENDER","FLORENCE","5332","ALDERWOOD","596-34-1721","FEMALE",469,"FIRST",1935-02-17,"REPUBLICAN"
"BISSON","GORDON","5833","ALDERWOOD","180-83-6118","MALE",434,"BUTTONWOOD",1935-02-18,"REPUBLICAN"
"BLACK","HELENE","5834","ALDERWOOD","200-96-6007","FEMALE",420,"KINNIKINICK",1935-02-19,"REPUBLICAN"
"BLUE","ISAAC","22283","ALDERWOOD","114-73-0118","MALE",1116,"MARIGOLD",1935-02-20,"INDEPENDENT"
"BLAKE","JOYCE","1836","ALDERWOOD","572-48-5168","FEMALE",343,"BASSET",1935-02-21,"DEMOCRAT"
"JOHNSON","KIRK","4337","MEXICO","703-45-0812","MALE",139,"SPANIEL",1935-02-22,"DEMOCRAT"
"WHITFORD","LESLIE","5903","ARIZONA","435-07-8607","FEMALE",303,"THIRTEENTH",1935-02-23,"DEMOCRAT"
"BOWYER","MICHAEL","5339","WYOMING","433-22-4353","MALE",800,"FIFTEENTH",1935-02-24,"DEMOCRAT"
"LARSON","NADINE","5840","ALDERWOOD","563-25-4781","FEMALE",1636,"SIAMESE",1935-02-25,"DEMOCRAT"
"BORBELY","OSCAR","5841","ALDERWOOD","534-17-2364","MALE",1155,"THIRD",1935-02-26,"REPUBLICAN"
"HOLLOMON","PATTY","5842","MEXICO","179-05-3614","FEMALE",935,"JAVANESE",1935-02-27,"REPUBLICAN"
"FONTANA-SMITH","RAFAEL","5908","ALDERWOOD","809-17-0755","MALE",1292,"ELEVENTH",1935-02-28,"REPUBLICAN"
"PLACET","SANDY","4844","MONTANA","342-15-8432","FEMALE",218,"TWENTIETH",1935-03-01,"REPUBLICAN"
"SKELLY","TONY","8-Apr-34","MEXICO","337-62-1219","MALE",704,"TENTH",1935-03-02,"REPUBLICAN"
"GRINSTEIN","VALERIE","4846","ARIZONA","049-12-5477","FEMALE",1405,"BARBERRY",1935-03-03,"REPUBLICAN"
"JOHNSON","WILLIAM","4847","WASHINGTON","122-74-5619","MALE",7,"HOLLY",1935-03-04,"REPUBLICAN"
"SKUMANICH","ANDREA","5848","MONTANA","213-93-7894","FEMALE",16,"BIRCH",1935-03-05,"INDEPENDENT"
"HUND","BARRY","5849","ALDERWOOD","647-33-7104","MALE",1267,"STRAWBERRY",1935-03-06,"DEMOCRAT"
"DONALDSON","CHANTAL","4350","MONTANA","523-67-8301","FEMALE",43,"FOURTEENTH",1935-03-07,"DEMOCRAT"
"STONE","DEAN","6281","ALASKA","333-95-2592","MALE",176,"PANSY",1935-03-08,"DEMOCRAT"
"BARTHA","ERIN","4852","ALDERWOOD","672-48-7134","FEMALE",41,"ALDER",1935-03-09,"DEMOCRAT"
"STOPPANI","FELIX","5918","MONTANA","030-70-7386","MALE",86,"PANSY",1935-03-10,"DEMOCRAT"
"DIEFENDERFER","GABRIELLE","5354","ALDERWOOD","491-38-0832","FEMALE",1491,"BARREL",1935-03-11,"REPUBLICAN"
"HANSEN","HUMBERTO","5920","ALDERWOOD","578-74-0596","MALE",2268,"TENTH",1935-03-12,"REPUBLICAN"
"THOMAS","INGRID","8-Apr-34","ALDERWOOD","231-30-1465","FEMALE",1260,"PRICKLYPEAR",1935-03-13,"REPUBLICAN"
"SCHULTZ","JERRY","5857","ALDERWOOD","090-62-0194","MALE",2506,"ROSEHIP",1935-03-14,"REPUBLICAN"
"FELLER","KAREN","6288","OREGON","619-24-0896","FEMALE",3700,"CORGI",1935-03-15,"REPUBLICAN"
"FULLMER","LORENZO","4859","MONTANA","920-62-1249","MALE",150,"AFGHAN",1935-03-16,"REPUBLICAN"
"YE","MELISSA","5360","ALDERWOOD","267-34-1980","FEMALE",1001,"NINETEENTH",1935-03-17,"REPUBLICAN"
"ROBERTS","NOEL","4861","MEXICO","395-11-6705","FEMALE",183,"MUNCHKIN",1935-03-18,"INDEPENDENT"
"CHAVEZ-TAPIA","OLGA","4862","NEW YORK","075-75-9859","FEMALE",184,"SECOND",1935-03-19,"DEMOCRAT"
"BEDOYA","PABLO","5863","CALIFORNIA","563-05-5056","MALE",180,"CLOUDBERRY",1935-03-20,"DEMOCRAT"
"VINSKEY","REBEKAH","6294","ALDERWOOD","845-09-5144","FEMALE",441,"MALTESE",1935-03-21,"DEMOCRAT"
"COCA","SEBASTIEN","5365","ALDERWOOD","322-14-1084","MALE",142,"JAVANESE",1935-03-22,"DEMOCRAT"
"RODRIGUEZ","TANYA","5866","ARIZONA","364-20-3054","FEMALE",451,"HAWTHORN",1935-03-23,"DEMOCRAT"
"HONE","VAN","5367","MEXICO","186-78-5535","MALE",1200,"AKITA",1935-03-24,"REPUBLICAN"
"SVANCARA","WENDY","5933","ARIZONA","355-08-3031","FEMALE",473,"SECOND",1935-03-25,"REPUBLICAN"
"CONWAY","ARTHUR","5369","CALIFORNIA","055-90-6618","MALE",19,"ABYSSINIAN",1935-03-26,"REPUBLICAN"
"HINTON","BERTHA","4870","UTAH","487-05-7663","FEMALE",65,"SOMALI",1935-03-27,"REPUBLICAN"
"THOMPSON","CRISTOBAL","5371","ARIZONA","605-34-7345","MALE",79,"FOXGLOVE",1935-03-28,"REPUBLICAN"
"MCKINLEY","DOLLY","5872","UTAH","212-71-1720","FEMALE",225,"BURMESE",1935-03-29,"REPUBLICAN"
"SHIRLEY","EDOUARD","5873","ALDERWOOD","804-61-6864","MALE",364,"ELDERBERRY",1935-03-30,"REPUBLICAN"
"JOHNS","FAY","5939","ALDERWOOD","292-14-9570","FEMALE",1582,"BITTEROOT",1935-03-31,"INDEPENDENT"
"ZIMMERMAN","GUSTAV","5375","ALDERWOOD","686-08-3659","MALE",2254,"THISTLE",1935-04-01,"DEMOCRAT"
"JONES","HANNA","4376","ALDERWOOD","141-32-7444","FEMALE",490,"ASTER",1935-04-02,"DEMOCRAT"
"MARTIN","IKE","4377","OREGON","230-37-9460","MALE",2089,"ELDERBERRY",1935-04-03,"DEMOCRAT"
"ELSHAFEY","JOSEPHINE","4378","MONTANA","365-41-0293","FEMALE",115,"PEONY",1935-04-04,"DEMOCRAT"
"KHAN","KYLE","5379","ARIZONA","858-80-4022","MALE",895,"CRANBERRY",1935-04-05,"DEMOCRAT"
"ELIZONDO","LAURA","4880","ALDERWOOD","878-37-8958","FEMALE",805,"LUPIN",1935-04-06,"REPUBLICAN"
"DOHNALKOVA","MARCO","8-Apr-34","UTAH","638-36-1972","MALE",149,"BOXER",1935-04-07,"REPUBLICAN"
"CUI","NANA","4382","ALDERWOOD","958-54-5745","FEMALE",1022,"BASSET",1935-04-08,"REPUBLICAN"
"WITTEVEEN","OMAR","8-Apr-34","ALDERWOOD","799-45-6054","MALE",2856,"SNOWSHOE",1935-04-09,"REPUBLICAN"
"DEC","PALOMA","4884","UTAH","536-31-4202","FEMALE",181,"CRANBERRY",1935-04-10,"REPUBLICAN"
"BYRNE","RENE","6315","MEXICO","172-52-2811","FEMALE",945,"THIRD",1935-04-11,"REPUBLICAN"
"STRAUB","SALLY","5951","OREGON","859-98-5587","FEMALE",196,"PANSY",1935-04-12,"REPUBLICAN"
"VELA","TEDDY","4887","WASHINGTON","641-32-2210","FEMALE",742,"EIGHTEENTH",1935-04-13,"INDEPENDENT"
"MCDOWELL","VICKY","5888","ALDERWOOD","607-12-9038","FEMALE",557,"FIRST",1935-04-14,"DEMOCRAT"
"STRUB","WILFRED","5954","ALDERWOOD","063-48-2953","MALE",450,"MALTESE",1935-04-15,"DEMOCRAT"
"WATROUS","ANA","5390","ALDERWOOD","989-30-9509","FEMALE",1659,"FIRST",1935-04-16,"DEMOCRAT"
"FANG","BILL","8-Apr-34","ALDERWOOD","367-84-8928","MALE",777,"GINGER",1935-04-17,"DEMOCRAT"
"FARIS","CLAUDETTE","6322","MONTANA","496-56-6938","FEMALE",53,"MASTIFF",1935-04-18,"DEMOCRAT"
"HAMMERSTROM","DANNY","5393","ALDERWOOD","057-09-6111","MALE",287,"ROSE",1935-04-19,"REPUBLICAN"
"CLEARY","ERIKA","4894","ALDERWOOD","845-91-3426","FEMALE",236,"TWELVTH",1935-04-20,"REPUBLICAN"
"ANKRUM","FRED","5895","ALDERWOOD","275-82-9671","MALE",580,"SINGAPURA",1935-04-21,"REPUBLICAN"
"PUGH","GRACE","4896","MEXICO","992-10-1148","FEMALE",390,"AKITA",1935-04-22,"REPUBLICAN"
"MOFFITT","HENRI","4897","ALDERWOOD","384-56-7914","MALE",1742,"STURGEON",1935-04-23,"REPUBLICAN"
"LIU","IDA","5898","NEW YORK","300-64-6845","FEMALE",602,"GINGER",1935-04-24,"REPUBLICAN"
"SARIPALLI","JOAQUIN","4899","ALDERWOOD","620-37-3283","FEMALE",1319,"CORNISH",1935-04-25,"REPUBLICAN"
"NASH","KATE","3900","ALDERWOOD","575-04-0788","FEMALE",812,"FIRST",1935-04-26,"INDEPENDENT"
"MAYER","LARRY","4401","NEBRASKA","408-46-3237","MALE",275,"THISTLE",1935-04-27,"DEMOCRAT"
"NETTER","MINDY","4902","OREGON","016-88-8978","FEMALE",3817,"NINTH",1935-04-28,"DEMOCRAT"
"PARDINI","NICHOLAS","4903","ALDERWOOD","837-27-9001","MALE",2954,"ABYSSINIAN",1935-04-29,"DEMOCRAT"
"ARIMESCU","ODETTE","5904","MONTANA","195-01-4955","FEMALE",182,"KOMONDOR",1935-04-30,"DEMOCRAT"
"EVANS-PATTON","PETER","4905","ALDERWOOD","098-30-8244","MALE",1155,"CLOUDBERRY",1935-05-01,"DEMOCRAT"
"MORRA","ROSE","8-Apr-34","UTAH","018-83-9734","FEMALE",1015,"ESKIMO",1935-05-02,"REPUBLICAN"
"KATIPAMULA","SAM","5407","IDAHO","647-52-1936","MALE",199,"BASENJI",1935-05-03,"REPUBLICAN"
"CHAMBERLIN","TERESA","5908","ALDERWOOD","277-90-7862","FEMALE",1582,"OLIVE",1935-05-04,"REPUBLICAN"
"SCHMIDT","VICTOR","5409","NEW YORK","887-16-0658","MALE",234,"HIMALAYA",1935-05-05,"REPUBLICAN"
"GODOY-KAIN","WANDA","5910","ALDERWOOD","247-23-2398","FEMALE",3395,"JAVANESE",1935-05-06,"REPUBLICAN"
"ELLIOTT","THOMAS","5411","UTAH","493-49-2061","MALE",1140,"SELKIRK",1935-05-07,"REPUBLICAN"
"TABUYO-GALLEGOS","MARY","8-Apr-34","ALDERWOOD","763-85-9286","FEMALE",668,"CORNISH",1935-05-08,"REPUBLICAN"
"BROCK","JAMES","4913","MEXICO","175-01-7474","MALE",555,"CHOLLA",1935-05-09,"INDEPENDENT"
"LATORRE","PATRICIA","4914","ALDERWOOD","689-57-6660","FEMALE",1211,"LAUREL",1935-05-10,"DEMOCRAT"
"ZULJEVIC","JOHN","28094","ALDERWOOD","381-23-5663","MALE",827,"MAIN",1935-05-11,"DEMOCRAT"
"TSILIGARIDIS","LINDA","5916","ALDERWOOD","313-63-2996","FEMALE",2688,"TWELVTH",1935-05-12,"DEMOCRAT"
"NIEPLOCHA","ROBERT","5417","CALIFORNIA","673-55-2411","MALE",203,"BALINESE",1935-05-13,"DEMOCRAT"
"GOWRI","BARBARA","4918","IDAHO","116-46-8981","FEMALE",18,"RAGDOLL",1935-05-14,"DEMOCRAT"
"STEELE","MICHAEL","5419","ALDERWOOD","298-51-5537","MALE",959,"BEAGLE",1935-05-15,"REPUBLICAN"
"MCCUE","ELIZABETH","4420","CALIFORNIA","238-10-7572","FEMALE",80,"CORALBERRY",1935-05-16,"REPUBLICAN"
"KNOBBS","WILLIAM","4921","ALDERWOOD","928-01-2951","MALE",1254,"MALAMUTE",1935-05-17,"REPUBLICAN"
"GALLEGOS","JENNIFER","5922","ALDERWOOD","154-50-8032","FEMALE",967,"CORGI",1935-05-18,"REPUBLICAN"
"PERRY","DAVID","6353","ARIZONA","441-81-0666","MALE",48,"SUNSET",1935-05-19,"REPUBLICAN"
"SANDE","MARIA","4924","ALDERWOOD","373-05-4698","FEMALE",1511,"BUFFALOBERRY",1935-05-20,"REPUBLICAN"
"POPE","RICHARD","4925","ALDERWOOD","465-51-8566","MALE",3038,"SEVENTEENTH",1935-05-21,"REPUBLICAN"
"DU","SUSAN","4926","OREGON","422-54-8840","FEMALE",3682,"ROSEHIP",1935-05-22,"INDEPENDENT"
"DEMYER","CHARLES","4927","ALDERWOOD","980-78-7185","MALE",1841,"LOCUST",1935-05-23,"DEMOCRAT"
"LEI","MARGARET","4928","OREGON","437-21-0510","FEMALE",2245,"PRICKLYPEAR",1935-05-24,"DEMOCRAT"
"SALISBURY-MILLER","JOSEPH","5429","MONTANA","139-41-4355","MALE",126,"TWINBERRY",1935-05-25,"DEMOCRAT"
"PENNER","DOROTHY","4430","INDIANA","632-60-3388","FEMALE",119,"AIREDALE",1935-05-26,"DEMOCRAT"
"ZHANG","JOSEPH","4931","ARIZONA","870-20-1448","MALE",243,"SEVENTEENTH",1935-05-27,"DEMOCRAT"
"VUTA","BETH","5432","RHODE ISLAND","440-79-5991","FEMALE",20,"SWEET PEA",1935-05-28,"REPUBLICAN"
"VILLA","BRAD","5933","ARIZONA","306-73-6000","MALE",187,"SNOWBERRY",1935-05-29,"REPUBLICAN"
"BUTNER","CARRIE","5934","ALDERWOOD","559-84-2722","FEMALE",942,"COON",1935-05-30,"REPUBLICAN"
"HEREDIA-LANGNER","DONALD","8-Apr-34","ALDERWOOD","749-41-5273","MALE",1317,"SAVANNAH",1935-05-31,"REPUBLICAN"
"WRIGHT","CAROLINE","1936","ALDERWOOD","727-22-8278","FEMALE",42,"PINE",1935-06-01,"REPUBLICAN"
"OOSTROM","DENNIS","4437","FLORIDA","017-24-2809","MALE",302,"HONEYSUCKLE",1935-06-02,"REPUBLICAN"
"REX","KATY","6003","ALDERWOOD","548-70-0133","FEMALE",2464,"STURGEON",1935-06-03,"REPUBLICAN"
"JOHNSON","WAYNE","5439","ARIZONA","735-23-8262","MALE",707,"LOCUST",1935-06-04,"INDEPENDENT"
"COLEMAN","CYNTHIA","5940","OREGON","207-26-7670","FEMALE",295,"CORGI",1935-06-05,"DEMOCRAT"
"ONISHI","NEAL","5941","ALDERWOOD","102-63-1416","MALE",2450,"CHIHUAHUA",1935-06-06,"DEMOCRAT"
"GIBSON","NATALIE","5942","OREGON","844-15-2739","FEMALE",859,"SEVENTH",1935-06-07,"DEMOCRAT"
"WHELAN","MIKE","6008","OKLAHOMA","283-68-1988","MALE",1610,"FIFTEENTH",1935-06-08,"DEMOCRAT"
"DENG","KIMBERLY","4944","ARIZONA","783-71-2358","FEMALE",273,"KOMONDOR",1935-06-09,"DEMOCRAT"
"FU","SCOTT","8-Apr-34","MEXICO","478-83-0625","MALE",677,"WASHINGTON",1935-06-10,"REPUBLICAN"
"DIBRANI","BECKY","4946","CONNECTICUT","993-06-1493","FEMALE",53,"BITTEROOT",1935-06-11,"REPUBLICAN"
"NIGL","THOMAS","4947","ALDERWOOD","267-68-9671","MALE",3304,"ASTER",1935-06-12,"REPUBLICAN"
"NICKLESS","REBECAH","5948","WASHINGTON","848-87-7201","FEMALE",205,"BASSET",1935-06-13,"REPUBLICAN"
"VEDULA","STEVEN","5949","INDIANA","059-49-5684","MALE",226,"LAUREL",1935-06-14,"REPUBLICAN"
"KLUSE","KELLY","4450","ARIZONA","995-26-3862","FEMALE",259,"EIGHTH",1935-06-15,"REPUBLICAN"
"TIPPARAJU","RICHARD","6381","ALDERWOOD","099-38-9777","MALE",1295,"BEAGLE",1935-06-16,"REPUBLICAN"
"KALMAN","ANGELA","4952","ALDERWOOD","675-72-0119","FEMALE",1829,"BOXWOOD",1935-06-17,"INDEPENDENT"
"LOUIE","WILLIAM","6018","ALDERWOOD","778-89-6358","MALE",849,"KINNIKINICK",1935-06-18,"DEMOCRAT"
"KERY","MICHELLE","5454","ARIZONA","915-04-7802","FEMALE",315,"TWINBERRY",1935-06-19,"DEMOCRAT"
"RESAT","ROBERT","6020","OREGON","391-06-4556","MALE",2125,"STRAWBERRY",1935-06-20,"DEMOCRAT"
"AHMED","AMY","8-Apr-34","NEW HAMPSHIRE","185-94-6821","FEMALE",49,"JAVANESE",1935-06-21,"DEMOCRAT"
"GOPALAN","KENNETH","5957","ALDERWOOD","563-06-6031","MALE",784,"PERSIMMON",1935-06-22,"DEMOCRAT"
"QIAN","MELISSA","6388","CALIFORNIA","144-65-7958","FEMALE",159,"SASKATOON",1935-06-23,"REPUBLICAN"
"BROTHERTON","JEFFERY","4959","KANSAS","771-04-8397","MALE",209,"CHOLLA",1935-06-24,"REPUBLICAN"
"DONNELLY","HEATHER","5460","ALDERWOOD","686-59-2276","FEMALE",991,"CHOLLA",1935-06-25,"REPUBLICAN"
"MALARD","CHRISTOPHER","4961","ARIZONA","895-69-4224","MALE",288,"ESKIMO",1935-06-26,"REPUBLICAN"
"LU","STEPHANIE","4962","ARIZONA","440-67-8088","FEMALE",211,"SPANIEL",1935-06-27,"REPUBLICAN"
"MACHSHANOVA","JOHN","5963","MONTANA","892-72-2684","MALE",118,"TERRIER",1935-06-28,"REPUBLICAN"
"FJELD","LAUREN","6394","OREGON","471-63-1546","MALE",3478,"COONHOUND",1935-06-29,"REPUBLICAN"
"BENSON","BRIAN","5465","ALDERWOOD","151-01-4656","MALE",1780,"HIMALAYA",1935-06-30,"INDEPENDENT"
"WALKER","NICOLE","5966","UTAH","715-03-6998","FEMALE",183,"BOMBAY",1935-07-01,"DEMOCRAT"
"VIVEROS","JASON","5467","OREGON","524-32-7790","MALE",2578,"MUNCHKIN",1935-07-02,"DEMOCRAT"
"ANDERSON","AMANDA","6033","ALDERWOOD","103-80-6775","FEMALE",3388,"SELKIRK",1935-07-03,"DEMOCRAT"
"FELDHAUS","SCOTT","5469","ALDERWOOD","003-06-7365","MALE",3164,"COON",1935-07-04,"DEMOCRAT"
"MAYER-CUMBLIDGE","BRITTANY","4970","CALIFORNIA","183-24-0133","FEMALE",44,"EIGHTEENTH",1935-07-05,"DEMOCRAT"
"HUANG","MATTHEW","5471","MASSACHUSETTS","434-53-0668","MALE",337,"EIGHTH",1935-07-06,"REPUBLICAN"
"LIN","RACHEL","5972","ALDERWOOD","655-21-5766","FEMALE",1351,"CHOLLA",1935-07-07,"REPUBLICAN"
"AHRAM","DANIEL","5973","ALDERWOOD","874-94-9212","MALE",219,"LOCUST",1935-07-08,"REPUBLICAN"
"POSPICAL","MEGAN","6039","ALDERWOOD","497-86-3723","FEMALE",882,"CORNFLOWER",1935-07-09,"REPUBLICAN"
"LEHRMAN-MYERS","JOSHUA","5475","ALDERWOOD","289-37-7302","MALE",786,"FOXGLOVE",1935-07-10,"REPUBLICAN"
"RUNYON","EMILY","4476","ALDERWOOD","315-41-1473","FEMALE",288,"BENGAL",1935-07-11,"REPUBLICAN"
"DRIVER","JUSTIN","4477","ALDERWOOD","952-97-9711","MALE",2660,"CORNFLOWER",1935-07-12,"REPUBLICAN"
"CARRIERA","SARAH","4478","IDAHO","812-10-1575","FEMALE",214,"TURKISH",1935-07-13,"INDEPENDENT"
"LEIFHEIT","NEWTON","5479","ARIZONA","237-95-5043","MALE",363,"BOMBAY",1935-07-14,"DEMOCRAT"
"CADD","TAYLOR","4980","ALDERWOOD","529-36-1282","FEMALE",1134,"SINGAPURA",1935-07-15,"DEMOCRAT"
"NOLAN","RYAN","8-Apr-34","ALDERWOOD","960-38-7966","MALE",773,"COLLIE",1935-07-16,"DEMOCRAT"
"DUCLOS","JESSICA","4482","ALDERWOOD","944-34-7924","FEMALE",2415,"RASPBERRY",1935-07-17,"DEMOCRAT"
"DORAN","ANDREW","8-Apr-34","ALDERWOOD","638-87-4946","MALE",1785,"CHOLLA",1935-07-18,"DEMOCRAT"
"SAMS","ASHLEY","4984","ALDERWOOD","577-41-1424","FEMALE",481,"AFGHAN",1935-07-19,"REPUBLICAN"
"HUI","NICHOLAS","6415","OREGON","087-61-0984","MALE",2776,"BEAGLE",1935-07-20,"REPUBLICAN"
"HARBISON","SAMANTHA","6051","ALDERWOOD","861-76-6343","FEMALE",1520,"SIAMESE",1935-07-21,"REPUBLICAN"
"HERNANDEZ","TYLER","4987","UTAH","827-11-7279","MALE",1170,"ANGORA",1935-07-22,"REPUBLICAN"
"RUIZ","MADISON","5988","ALDERWOOD","684-50-3858","FEMALE",1022,"CROWBERRY",1935-07-23,"REPUBLICAN"
"PANTHER","JACOB","6054","UTAH","094-60-3490","MALE",450,"THIRTEENTH",1935-07-24,"REPUBLICAN"
"KIM","HANNAH","5490","NORTH DAKOTA","221-71-7887","FEMALE",62,"BOBTAIL",1935-07-25,"REPUBLICAN"
"GOUTHIA","ZACHARY","8-Apr-34","ILLINOIS","032-24-9296","MALE",745,"ASTER",1935-07-26,"INDEPENDENT"
"ABREFAH","KAYLA","6422","ARIZONA","615-37-5692","FEMALE",269,"PIXIE",1935-07-27,"DEMOCRAT"
"MCLAUGHLIN","BRANDON","5493","ARIZONA","791-42-1114","MALE",522,"PETERBALD",1935-07-28,"DEMOCRAT"
"CRISCUOLO","ALEXIS","4994","ALDERWOOD","683-81-2665","FEMALE",79,"PAPILION",1935-07-29,"DEMOCRAT"
"BOLLINGER","AUSTIN","5995","IDAHO","178-49-7975","MALE",16,"SAGE",1935-07-30,"DEMOCRAT"
"MILLER","LISA","4996","OKLAHOMA","674-53-8263","FEMALE",413,"MUM",1935-07-31,"DEMOCRAT"
"BARNETT","ETHAN","4997","UTAH","549-84-5912","MALE",385,"SUMAC",1935-08-01,"REPUBLICAN"
"WILLIAMS","CHRISTINE","5998","ALDERWOOD","689-03-3110","FEMALE",458,"FOXGLOVE",1935-08-02,"REPUBLICAN"
